questions,answers,questions_with_answers,entity,image_ids
Additional security measures are in place at Old Trafford ahead of tonight ' s tribute concert # OneLoveManchester Which word(s) correspond to the location in the sentence? ,Old Trafford,Additional security measures are in place at Old Trafford ahead of tonight ' s tribute concert # OneLoveManchester Which word(s) correspond to the location in the sentence? Answer: Old Trafford,location,17_06_2272.jpg
VIDEO : LeBron James dunks all over JaVale McGee # NBAFinals Which word(s) correspond to the person in the sentence? ,LeBron James,VIDEO : LeBron James dunks all over JaVale McGee # NBAFinals Which word(s) correspond to the person in the sentence? Answer: LeBron James,person,17_06_15602.jpg
# NHLPlayoffs Winnipeg # Jets Scouting Report Which word(s) correspond to the organization in the sentence? ,Winnipeg Jets #,# NHLPlayoffs Winnipeg # Jets Scouting Report Which word(s) correspond to the organization in the sentence? Answer: Winnipeg Jets #,organization,16_05_01_670.jpg
# NFL # Eagles Flexing place - kicker Cody Parkey working his way back from . . . Which word(s) correspond to the organization in the sentence? ,NFL,# NFL # Eagles Flexing place - kicker Cody Parkey working his way back from . . . Which word(s) correspond to the organization in the sentence? Answer: NFL,organization,16_05_30_976.jpg
"# football : Kane : It ' s "" exciting times "" at Spurs , I want to emulate these "" special "" nights Which word(s) correspond to the person in the sentence? ",Kane,"# football : Kane : It ' s "" exciting times "" at Spurs , I want to emulate these "" special "" nights Which word(s) correspond to the person in the sentence? Answer: Kane",person,16_05_03_1044.jpg
"Six years since her last album dropped , Jessica Simpson is back in the studio ! Which word(s) correspond to the person in the sentence? ",Jessica Simpson,"Six years since her last album dropped , Jessica Simpson is back in the studio ! Which word(s) correspond to the person in the sentence? Answer: Jessica Simpson",person,O_3804.jpg
Varun Dhawan and others grace the launch of the ‘ India Alive Short Film Festival ’ Which word(s) correspond to the person in the sentence? ,Varun Dhawan,Varun Dhawan and others grace the launch of the ‘ India Alive Short Film Festival ’ Which word(s) correspond to the person in the sentence? Answer: Varun Dhawan,person,17_06_15563.jpg
Trump ' s conflicts of interest : a visual guide Which word(s) correspond to the person in the sentence? ,Trump,Trump ' s conflicts of interest : a visual guide Which word(s) correspond to the person in the sentence? Answer: Trump,person,17_01_2118.jpg
"Wabash football on the open sea off the coast at Cambrils , Spain Which word(s) correspond to the organization in the sentence? ",Wabash,"Wabash football on the open sea off the coast at Cambrils , Spain Which word(s) correspond to the organization in the sentence? Answer: Wabash",organization,16_05_23_969.jpg
Barca winning La Liga hurts less than Madrid – Godin Which word(s) correspond to the organization in the sentence? ,Barca,Barca winning La Liga hurts less than Madrid – Godin Which word(s) correspond to the organization in the sentence? Answer: Barca,organization,16_05_17_387.jpg
Houston we have a problem . Sir Martin Sorrell agrees there is a problem with advertising festivals . # CannesLions Which word(s) correspond to the location in the sentence? ,Houston,Houston we have a problem . Sir Martin Sorrell agrees there is a problem with advertising festivals . # CannesLions Which word(s) correspond to the location in the sentence? Answer: Houston,location,17_06_3850.jpg
Yesterday when we went to Jersey for lights and siren parade :) had a lot of fun with my fire family :) Which word(s) correspond to the location in the sentence? ,Jersey,Yesterday when we went to Jersey for lights and siren parade :) had a lot of fun with my fire family :) Which word(s) correspond to the location in the sentence? Answer: Jersey,location,16_05_01_686.jpg
Another photo of Justin Bieber at @ ArmsParkCardiff earlier today in Cardiff . ( June 30 ) Which word(s) correspond to the person in the sentence? ,Justin Bieber,Another photo of Justin Bieber at @ ArmsParkCardiff earlier today in Cardiff . ( June 30 ) Which word(s) correspond to the person in the sentence? Answer: Justin Bieber,person,O_1403.jpg
"Tonight , the 14 th of June at 8 : 00 PM , The Closing Ceremony of Quang Nam Festival VI - 2017 at Hoai River Square . Which word(s) correspond to the misceallonous entity in the sentence? ",Quang Festival Nam,"Tonight , the 14 th of June at 8 : 00 PM , The Closing Ceremony of Quang Nam Festival VI - 2017 at Hoai River Square . Which word(s) correspond to the misceallonous entity in the sentence? Answer: Quang Festival Nam",misceallonous entity,17_06_10358.jpg
"Check out the # UAALLAMERICA 🏈 boy ! @ Andruzzi63 and my middle son , Thomas . @ UAFootball # MakingDreamsReality Which word(s) correspond to the person in the sentence? ",Andruzzi63,"Check out the # UAALLAMERICA 🏈 boy ! @ Andruzzi63 and my middle son , Thomas . @ UAFootball # MakingDreamsReality Which word(s) correspond to the person in the sentence? Answer: Andruzzi63",person,17_01_18361.jpg
NBA Western Conference vs Eastern Conference . Which word(s) correspond to the organization in the sentence? ,NBA,NBA Western Conference vs Eastern Conference . Which word(s) correspond to the organization in the sentence? Answer: NBA,organization,17_06_622.jpg
New : Senators ask Phaneuf to waive no - movement clause # nhl @ Media_Sens @ Senators Which word(s) correspond to the organization in the sentence? ,Senators,New : Senators ask Phaneuf to waive no - movement clause # nhl @ Media_Sens @ Senators Which word(s) correspond to the organization in the sentence? Answer: Senators,organization,17_06_4555.jpg
Can ' t rain on our parade ! ! ! @ htubman2015 Which word(s) correspond to the organization in the sentence? ,htubman2015,Can ' t rain on our parade ! ! ! @ htubman2015 Which word(s) correspond to the organization in the sentence? Answer: htubman2015,organization,17_06_13670.jpg
Drake Ties Lil Wayne for Most Billboard Hot 100 Hits Which word(s) correspond to the person in the sentence? ,Drake,Drake Ties Lil Wayne for Most Billboard Hot 100 Hits Which word(s) correspond to the person in the sentence? Answer: Drake,person,O_163.jpg
The new Louis Vuitton luggage is a vintage lover ' s dream Which word(s) correspond to the organization in the sentence? ,Louis Vuitton,The new Louis Vuitton luggage is a vintage lover ' s dream Which word(s) correspond to the organization in the sentence? Answer: Louis Vuitton,organization,O_3306.jpg
Congrats to Sarah Park for being a honoree of the Most Influential Asian Americans in Georgia . @ GwinnettEvents Which word(s) correspond to the person in the sentence? ,Sarah Park,Congrats to Sarah Park for being a honoree of the Most Influential Asian Americans in Georgia . @ GwinnettEvents Which word(s) correspond to the person in the sentence? Answer: Sarah Park,person,16_05_01_275.jpg
"UHH ! Kim kardashian Caught Bra less at Public and ramp Places for first time , see Gallery 👍 Which word(s) correspond to the person in the sentence? ",Kim kardashian,"UHH ! Kim kardashian Caught Bra less at Public and ramp Places for first time , see Gallery 👍 Which word(s) correspond to the person in the sentence? Answer: Kim kardashian",person,O_2356.jpg
Iconic Toni left speechless after magical final Serie A match Which word(s) correspond to the person in the sentence? ,Toni,Iconic Toni left speechless after magical final Serie A match Which word(s) correspond to the person in the sentence? Answer: Toni,person,16_05_09_883.jpg
Playoff Kevin Durant showing up just in time ! Which word(s) correspond to the person in the sentence? ,Kevin Durant,Playoff Kevin Durant showing up just in time ! Which word(s) correspond to the person in the sentence? Answer: Kevin Durant,person,O_4686.jpg
Holy Cross Boys getting ready for their opening game at the SJP Soccer Tournament Which word(s) correspond to the organization in the sentence? ,Holy Boys Cross,Holy Cross Boys getting ready for their opening game at the SJP Soccer Tournament Which word(s) correspond to the organization in the sentence? Answer: Holy Boys Cross,organization,16_05_17_474.jpg
David Bowie was supposed to appear in the ' Twin Peaks ' revival Which word(s) correspond to the person in the sentence? ,David Bowie,David Bowie was supposed to appear in the ' Twin Peaks ' revival Which word(s) correspond to the person in the sentence? Answer: David Bowie,person,O_2629.jpg
Three times James Comey ’ s testimony contradicted Donald Trump Which word(s) correspond to the person in the sentence? ,James Comey,Three times James Comey ’ s testimony contradicted Donald Trump Which word(s) correspond to the person in the sentence? Answer: James Comey,person,O_2602.jpg
Great to see so many families enjoying Rotary Family Festival @ BasRFC Which word(s) correspond to the misceallonous entity in the sentence? ,Rotary Festival Family,Great to see so many families enjoying Rotary Family Festival @ BasRFC Which word(s) correspond to the misceallonous entity in the sentence? Answer: Rotary Festival Family,misceallonous entity,16_05_01_193.jpg
Warroad reaches title game ; DGF stays alive in section baseball Which word(s) correspond to the organization in the sentence? ,Warroad,Warroad reaches title game ; DGF stays alive in section baseball Which word(s) correspond to the organization in the sentence? Answer: Warroad,organization,17_06_1573.jpg
U . S . lawmaker Scalise in critical condition after attack by gunman at baseball field Which word(s) correspond to the location in the sentence? ,U S .,U . S . lawmaker Scalise in critical condition after attack by gunman at baseball field Which word(s) correspond to the location in the sentence? Answer: U S .,location,17_06_3140.jpg
Rihanna concert was lit 🔥 Which word(s) correspond to the person in the sentence? ,Rihanna,Rihanna concert was lit 🔥 Which word(s) correspond to the person in the sentence? Answer: Rihanna,person,16_05_15_23.jpg
"The 10 - Point : @ Gerardtbaker on Donald Trump ' s tax plan , transgender legal showdown and more : Which word(s) correspond to the person in the sentence? ",Gerardtbaker,"The 10 - Point : @ Gerardtbaker on Donald Trump ' s tax plan , transgender legal showdown and more : Which word(s) correspond to the person in the sentence? Answer: Gerardtbaker",person,O_2311.jpg
Preview : ' 2017 Official 18 - month One Direction Calender ' ! You can order it here : Which word(s) correspond to the person in the sentence? ,One Direction,Preview : ' 2017 Official 18 - month One Direction Calender ' ! You can order it here : Which word(s) correspond to the person in the sentence? Answer: One Direction,person,O_3098.jpg
I would like to inform you all that Niall seems to have a disliking for Donald Trump 😂 😂 ~ C Which word(s) correspond to the person in the sentence? ,Niall,I would like to inform you all that Niall seems to have a disliking for Donald Trump 😂 😂 ~ C Which word(s) correspond to the person in the sentence? Answer: Niall,person,O_5003.jpg
Timberwolves ' Karl - Anthony Towns named unanimous choice for NBA Rookie of the Year award Which word(s) correspond to the organization in the sentence? ,Timberwolves,Timberwolves ' Karl - Anthony Towns named unanimous choice for NBA Rookie of the Year award Which word(s) correspond to the organization in the sentence? Answer: Timberwolves,organization,16_05_16_528.jpg
"‘ Black Panther ’ trailer lights up the night , and NBA Finals Which word(s) correspond to the misceallonous entity in the sentence? ",Black Panther,"‘ Black Panther ’ trailer lights up the night , and NBA Finals Which word(s) correspond to the misceallonous entity in the sentence? Answer: Black Panther",misceallonous entity,17_06_13995.jpg
Scott Parker announces his retirement from football Which word(s) correspond to the person in the sentence? ,Scott Parker,Scott Parker announces his retirement from football Which word(s) correspond to the person in the sentence? Answer: Scott Parker,person,17_06_9865.jpg
"left to right : John Miller , Donald Trump , John Barron Which word(s) correspond to the person in the sentence? ",John Miller,"left to right : John Miller , Donald Trump , John Barron Which word(s) correspond to the person in the sentence? Answer: John Miller",person,O_3420.jpg
"He was just finishing his film when his father , David Bowie , died Which word(s) correspond to the person in the sentence? ",David Bowie,"He was just finishing his film when his father , David Bowie , died Which word(s) correspond to the person in the sentence? Answer: David Bowie",person,O_1657.jpg
Harry Potter and the Prisoner of Azkaban Trivia . # 12 YearsPrisonerofAzkabanFilm Which word(s) correspond to the misceallonous entity in the sentence? ,Harry Trivia Azkaban of Prisoner the and Potter,Harry Potter and the Prisoner of Azkaban Trivia . # 12 YearsPrisonerofAzkabanFilm Which word(s) correspond to the misceallonous entity in the sentence? Answer: Harry Trivia Azkaban of Prisoner the and Potter,misceallonous entity,O_2586.jpg
Beautiful rusted sheet # cornish # landscape by Lisa Wisdom @ CraftFestival # texture # Rustic # cornwall # rusty # wallart Which word(s) correspond to the person in the sentence? ,Lisa Wisdom,Beautiful rusted sheet # cornish # landscape by Lisa Wisdom @ CraftFestival # texture # Rustic # cornwall # rusty # wallart Which word(s) correspond to the person in the sentence? Answer: Lisa Wisdom,person,17_06_7805.jpg
Kevin Spacey Brings Stephen Colbert And The Closet Jokes To The Tonys Which word(s) correspond to the person in the sentence? ,Kevin Spacey,Kevin Spacey Brings Stephen Colbert And The Closet Jokes To The Tonys Which word(s) correspond to the person in the sentence? Answer: Kevin Spacey,person,O_200.jpg
A list of all Donald Trump ' s successful businesses # MAGA # TRUMPTRAIN # hillaryhate # DropOutHillary # NeverClinton Which word(s) correspond to the person in the sentence? ,Donald Trump,A list of all Donald Trump ' s successful businesses # MAGA # TRUMPTRAIN # hillaryhate # DropOutHillary # NeverClinton Which word(s) correspond to the person in the sentence? Answer: Donald Trump,person,O_1843.jpg
fxxk this shxt . . . . . . . . . . i ' ' m off to vote for Donald Trump Which word(s) correspond to the person in the sentence? ,Donald Trump,fxxk this shxt . . . . . . . . . . i ' ' m off to vote for Donald Trump Which word(s) correspond to the person in the sentence? Answer: Donald Trump,person,O_4346.jpg
Glastonbury Festival Top Tips From The Celebrity Set : Which word(s) correspond to the misceallonous entity in the sentence? ,Glastonbury Festival,Glastonbury Festival Top Tips From The Celebrity Set : Which word(s) correspond to the misceallonous entity in the sentence? Answer: Glastonbury Festival,misceallonous entity,17_06_7292.jpg
Sergio Ramos : the # UCLfinal man of the match 👏 👏 👏 Which word(s) correspond to the person in the sentence? ,Sergio Ramos,Sergio Ramos : the # UCLfinal man of the match 👏 👏 👏 Which word(s) correspond to the person in the sentence? Answer: Sergio Ramos,person,O_447.jpg
"Leonardo Dicaprio and Kate Winslet , then and now . Which word(s) correspond to the person in the sentence? ",Leonardo Dicaprio,"Leonardo Dicaprio and Kate Winslet , then and now . Which word(s) correspond to the person in the sentence? Answer: Leonardo Dicaprio",person,O_4461.jpg
J . Cole named the highest paid rapper of 2015 Which word(s) correspond to the person in the sentence? ,J Cole .,J . Cole named the highest paid rapper of 2015 Which word(s) correspond to the person in the sentence? Answer: J Cole .,person,O_4730.jpg
"16,000 people just watched me get a live tattoo of Donald Trump sucking a dick . Welcome to the future . Which word(s) correspond to the person in the sentence? ",Donald Trump,"16,000 people just watched me get a live tattoo of Donald Trump sucking a dick . Welcome to the future . Which word(s) correspond to the person in the sentence? Answer: Donald Trump",person,O_316.jpg
Box Office Showdown : Tom Cruise ' s ' The Mummy ' to Get Lassoed by ' Wonder Woman ' Which word(s) correspond to the person in the sentence? ,Tom Cruise,Box Office Showdown : Tom Cruise ' s ' The Mummy ' to Get Lassoed by ' Wonder Woman ' Which word(s) correspond to the person in the sentence? Answer: Tom Cruise,person,O_2051.jpg
Atlanta dump Boston out of National Basketball Association . . . Which word(s) correspond to the organization in the sentence? ,Atlanta,Atlanta dump Boston out of National Basketball Association . . . Which word(s) correspond to the organization in the sentence? Answer: Atlanta,organization,16_05_01_508.jpg
You were NOT supposed to see Christina Aguilera ' s duet with Whitney Houston ' s hologram : Which word(s) correspond to the person in the sentence? ,Christina Aguilera,You were NOT supposed to see Christina Aguilera ' s duet with Whitney Houston ' s hologram : Which word(s) correspond to the person in the sentence? Answer: Christina Aguilera,person,O_4625.jpg
This is happening TODAY at 4 PM ! Who will we see at the FREE @ YOSA49 Summer Camp Concert ? ! # MajesticEmpire Which word(s) correspond to the misceallonous entity in the sentence? ,YOSA49 Camp Summer,This is happening TODAY at 4 PM ! Who will we see at the FREE @ YOSA49 Summer Camp Concert ? ! # MajesticEmpire Which word(s) correspond to the misceallonous entity in the sentence? Answer: YOSA49 Camp Summer,misceallonous entity,17_06_3924.jpg
Michael Jordan has a message for Russell Westbrook 🙏 🏆 Which word(s) correspond to the person in the sentence? ,Michael Jordan,Michael Jordan has a message for Russell Westbrook 🙏 🏆 Which word(s) correspond to the person in the sentence? Answer: Michael Jordan,person,O_612.jpg
Jessica celebrating 20 th anniversary of Harry Potter at Rainhill Library today @ STHLibraries # HarryPotter20 Which word(s) correspond to the person in the sentence? ,Jessica,Jessica celebrating 20 th anniversary of Harry Potter at Rainhill Library today @ STHLibraries # HarryPotter20 Which word(s) correspond to the person in the sentence? Answer: Jessica,person,O_3576.jpg
# Fashion # LadyGaga Lady Gaga - Born This Way Rare Sealed # CD Single Which word(s) correspond to the person in the sentence? ,LadyGaga,# Fashion # LadyGaga Lady Gaga - Born This Way Rare Sealed # CD Single Which word(s) correspond to the person in the sentence? Answer: LadyGaga,person,O_2008.jpg
"Video : Nick Jonas , Demi Lovato , @ JKCorden Form Supergroup in # CarpoolKaraoke Which word(s) correspond to the person in the sentence? ",Nick Jonas,"Video : Nick Jonas , Demi Lovato , @ JKCorden Form Supergroup in # CarpoolKaraoke Which word(s) correspond to the person in the sentence? Answer: Nick Jonas",person,O_2927.jpg
Funko Rolls Out a New Line of HARRY POTTER Pops ! for SDCC Which word(s) correspond to the organization in the sentence? ,Funko,Funko Rolls Out a New Line of HARRY POTTER Pops ! for SDCC Which word(s) correspond to the organization in the sentence? Answer: Funko,organization,O_3187.jpg
Brooklyn Film Festival Returns With 100 - Plus Screenings in . . . Which word(s) correspond to the misceallonous entity in the sentence? ,Brooklyn Festival Film,Brooklyn Film Festival Returns With 100 - Plus Screenings in . . . Which word(s) correspond to the misceallonous entity in the sentence? Answer: Brooklyn Festival Film,misceallonous entity,16_05_27_267.jpg
Selena Gomez Got Naked At Her Concert - Which word(s) correspond to the person in the sentence? ,Selena Gomez,Selena Gomez Got Naked At Her Concert - Which word(s) correspond to the person in the sentence? Answer: Selena Gomez,person,16_05_19_973.jpg
Arkansas coach Bret Bielema has a bold idea that ' d shake up the NFL Draft Which word(s) correspond to the organization in the sentence? ,Arkansas,Arkansas coach Bret Bielema has a bold idea that ' d shake up the NFL Draft Which word(s) correspond to the organization in the sentence? Answer: Arkansas,organization,16_05_10_699.jpg
Missing Wayne County man back in jail after being on the run # Memphis Which word(s) correspond to the location in the sentence? ,Wayne,Missing Wayne County man back in jail after being on the run # Memphis Which word(s) correspond to the location in the sentence? Answer: Wayne,location,O_1347.jpg
It took a full MINUTE for Justin Bieber to show his face in Company . TORTURE . # BBMAs Which word(s) correspond to the person in the sentence? ,Justin Bieber,It took a full MINUTE for Justin Bieber to show his face in Company . TORTURE . # BBMAs Which word(s) correspond to the person in the sentence? Answer: Justin Bieber,person,O_4484.jpg
"We ' re at Wymondham Windmill Beer Festival on June 4 th . Will you be ? ( Yep , if you ever want a pint in my pub again ) Which word(s) correspond to the location in the sentence? ",Wymondham Windmill,"We ' re at Wymondham Windmill Beer Festival on June 4 th . Will you be ? ( Yep , if you ever want a pint in my pub again ) Which word(s) correspond to the location in the sentence? Answer: Wymondham Windmill",location,16_05_23_916.jpg
Stage is set for the # NBAFinals . Will it be @ OracleArena or @ TheQArena raising a new championship banner ? Which word(s) correspond to the location in the sentence? ,OracleArena,Stage is set for the # NBAFinals . Will it be @ OracleArena or @ TheQArena raising a new championship banner ? Which word(s) correspond to the location in the sentence? Answer: OracleArena,location,16_05_31_288.jpg
Way - Too - Early 2018 Grammys Contenders : Grammy Nominee Harry Styles Which word(s) correspond to the misceallonous entity in the sentence? ,Grammys,Way - Too - Early 2018 Grammys Contenders : Grammy Nominee Harry Styles Which word(s) correspond to the misceallonous entity in the sentence? Answer: Grammys,misceallonous entity,O_2781.jpg
Justin Bieber changed the caption of his latest Instagram photo to this : Which word(s) correspond to the person in the sentence? ,Justin Bieber,Justin Bieber changed the caption of his latest Instagram photo to this : Which word(s) correspond to the person in the sentence? Answer: Justin Bieber,person,O_2445.jpg
"No , most working - class Americans did not vote for Donald Trump Which word(s) correspond to the person in the sentence? ",Donald Trump,"No , most working - class Americans did not vote for Donald Trump Which word(s) correspond to the person in the sentence? Answer: Donald Trump",person,O_3553.jpg
First Workers ' Party Congress since 1980 currently underway in # NorthKorea . Kim Jong - un expected to consolidate power Which word(s) correspond to the location in the sentence? ,NorthKorea,First Workers ' Party Congress since 1980 currently underway in # NorthKorea . Kim Jong - un expected to consolidate power Which word(s) correspond to the location in the sentence? Answer: NorthKorea,location,O_1475.jpg
normani looked so good at bey ' s concert 😩 🙌 🏼 🔥 Which word(s) correspond to the person in the sentence? ,normani,normani looked so good at bey ' s concert 😩 🙌 🏼 🔥 Which word(s) correspond to the person in the sentence? Answer: normani,person,16_05_13_1006.jpg
"LeBron James says he ' s "" not happy at all "" for Kevin Durant Which word(s) correspond to the person in the sentence? ",LeBron James,"LeBron James says he ' s "" not happy at all "" for Kevin Durant Which word(s) correspond to the person in the sentence? Answer: LeBron James",person,O_1741.jpg
OKC evens the series ! Kevin Durant ' s 41 points lead Thunder to 111 - 97 victory over Spurs in Game 4 . Which word(s) correspond to the organization in the sentence? ,OKC,OKC evens the series ! Kevin Durant ' s 41 points lead Thunder to 111 - 97 victory over Spurs in Game 4 . Which word(s) correspond to the organization in the sentence? Answer: OKC,organization,O_2608.jpg
"[ NEW ] Future Feat . Chris Brown - "" PIE "" [ Music Video ] Which word(s) correspond to the person in the sentence? ",Future,"[ NEW ] Future Feat . Chris Brown - "" PIE "" [ Music Video ] Which word(s) correspond to the person in the sentence? Answer: Future",person,O_1019.jpg
Rt @ NBA The @ spurs take 1 - 0 # SPURSvTHUNDER lead with 124 - 92 W on Aldridge ' s 38 : Which word(s) correspond to the organization in the sentence? ,NBA,Rt @ NBA The @ spurs take 1 - 0 # SPURSvTHUNDER lead with 124 - 92 W on Aldridge ' s 38 : Which word(s) correspond to the organization in the sentence? Answer: NBA,organization,16_05_01_383.jpg
"Ken Loach ' s affecting film "" I , Daniel Blake "" won the Palme d ' Or at Festival_Cannes Which word(s) correspond to the person in the sentence? ",Ken Loach,"Ken Loach ' s affecting film "" I , Daniel Blake "" won the Palme d ' Or at Festival_Cannes Which word(s) correspond to the person in the sentence? Answer: Ken Loach",person,16_05_24_164.jpg
Great fun seeing @ fredsshedmovie at The Box Film Festival on Saturday at @ ArlingtonArts ! Which word(s) correspond to the misceallonous entity in the sentence? ,fredsshedmovie,Great fun seeing @ fredsshedmovie at The Box Film Festival on Saturday at @ ArlingtonArts ! Which word(s) correspond to the misceallonous entity in the sentence? Answer: fredsshedmovie,misceallonous entity,17_06_2673.jpg
Guys ! There was a parade in honor of @ BorjaBorja1 ' s birthday ! Which word(s) correspond to the person in the sentence? ,BorjaBorja1,Guys ! There was a parade in honor of @ BorjaBorja1 ' s birthday ! Which word(s) correspond to the person in the sentence? Answer: BorjaBorja1,person,17_06_3315.jpg
"When Kendrick Lamar was 21, he claims a vision of Tupac appeared to him and said , “ Don ’ t let the music die . ” Which word(s) correspond to the person in the sentence? ",Kendrick Lamar,"When Kendrick Lamar was 21, he claims a vision of Tupac appeared to him and said , “ Don ’ t let the music die . ” Which word(s) correspond to the person in the sentence? Answer: Kendrick Lamar",person,O_247.jpg
Lee Brice in concert Monday at Hard Rock Tulsa ! Which word(s) correspond to the person in the sentence? ,Lee Brice,Lee Brice in concert Monday at Hard Rock Tulsa ! Which word(s) correspond to the person in the sentence? Answer: Lee Brice,person,16_05_23_499.jpg
Manchester Benefit Concert : Ariana Grande performs ' Somewhere Over the Rainbow ' Which word(s) correspond to the misceallonous entity in the sentence? ,Manchester Concert Benefit,Manchester Benefit Concert : Ariana Grande performs ' Somewhere Over the Rainbow ' Which word(s) correspond to the misceallonous entity in the sentence? Answer: Manchester Concert Benefit,misceallonous entity,17_06_6884.jpg
# HangUp NBA superstar LeBron James : Racism is part of America Which word(s) correspond to the organization in the sentence? ,NBA,# HangUp NBA superstar LeBron James : Racism is part of America Which word(s) correspond to the organization in the sentence? Answer: NBA,organization,17_06_7510.jpg
. @ diddy in da house . 🙌 # NBAFinals Which word(s) correspond to the person in the sentence? ,diddy,. @ diddy in da house . 🙌 # NBAFinals Which word(s) correspond to the person in the sentence? Answer: diddy,person,17_06_4720.jpg
Happy to announce I will be photographing @ DownloadFest 2017 # downloadfestival Which word(s) correspond to the misceallonous entity in the sentence? ,DownloadFest,Happy to announce I will be photographing @ DownloadFest 2017 # downloadfestival Which word(s) correspond to the misceallonous entity in the sentence? Answer: DownloadFest,misceallonous entity,17_06_15472.jpg
Man dies with 109 - degree temperature at Las Vegas music festival Which word(s) correspond to the misceallonous entity in the sentence? ,Las festival music Vegas,Man dies with 109 - degree temperature at Las Vegas music festival Which word(s) correspond to the misceallonous entity in the sentence? Answer: Las festival music Vegas,misceallonous entity,17_06_7420.jpg
"Cavaliers reach NBA Eastern Conference Finals with 100 - 99 victory , sweeping Hawks . Which word(s) correspond to the organization in the sentence? ",Cavaliers,"Cavaliers reach NBA Eastern Conference Finals with 100 - 99 victory , sweeping Hawks . Which word(s) correspond to the organization in the sentence? Answer: Cavaliers",organization,16_05_08_575.jpg
Spotify playlist with The Louvin Brothers # thelouvinbrothers and Carly Simon # carlysimon Which word(s) correspond to the organization in the sentence? ,Spotify,Spotify playlist with The Louvin Brothers # thelouvinbrothers and Carly Simon # carlysimon Which word(s) correspond to the organization in the sentence? Answer: Spotify,organization,O_3594.jpg
Justin Bieber Shows Off His Package In Skin Tight Swimming Trun Which word(s) correspond to the person in the sentence? ,Justin Bieber,Justin Bieber Shows Off His Package In Skin Tight Swimming Trun Which word(s) correspond to the person in the sentence? Answer: Justin Bieber,person,O_2358.jpg
Cristiano Ronaldo Had Vision of Scoring UEFA Champions League Winning . . . Which word(s) correspond to the person in the sentence? ,Cristiano Ronaldo,Cristiano Ronaldo Had Vision of Scoring UEFA Champions League Winning . . . Which word(s) correspond to the person in the sentence? Answer: Cristiano Ronaldo,person,16_05_29_502.jpg
The Rolling Stones are not happy with Donald Trump Which word(s) correspond to the person in the sentence? ,The Stones Rolling,The Rolling Stones are not happy with Donald Trump Which word(s) correspond to the person in the sentence? Answer: The Stones Rolling,person,O_4585.jpg
Jessica Simpson To Perform On NBC ’ s Today Summer Concert Series Here ' s What you need to know Which word(s) correspond to the person in the sentence? ,Jessica Simpson,Jessica Simpson To Perform On NBC ’ s Today Summer Concert Series Here ' s What you need to know Which word(s) correspond to the person in the sentence? Answer: Jessica Simpson,person,O_2014.jpg
FOOTBALL : Crystal Palace Hold Talks With Pellegrini About Manager ’ s Position Which word(s) correspond to the organization in the sentence? ,Crystal Palace,FOOTBALL : Crystal Palace Hold Talks With Pellegrini About Manager ’ s Position Which word(s) correspond to the organization in the sentence? Answer: Crystal Palace,organization,17_06_10565.jpg
College student meets Seth Rogen three years in a row 😂 Which word(s) correspond to the person in the sentence? ,Seth Rogen,College student meets Seth Rogen three years in a row 😂 Which word(s) correspond to the person in the sentence? Answer: Seth Rogen,person,O_1804.jpg
The world is 4 billion years old but we are so lucky to exist in the same time as Harry Styles Which word(s) correspond to the person in the sentence? ,Harry Styles,The world is 4 billion years old but we are so lucky to exist in the same time as Harry Styles Which word(s) correspond to the person in the sentence? Answer: Harry Styles,person,O_4323.jpg
First stop and look what I see ! Texas High School football . Building an indoor ! Which word(s) correspond to the misceallonous entity in the sentence? ,Texas School High,First stop and look what I see ! Texas High School football . Building an indoor ! Which word(s) correspond to the misceallonous entity in the sentence? Answer: Texas School High,misceallonous entity,16_05_12_531.jpg
# Nats game with my boys ! # nanny # firstbaseballgame @ Nationals # GoHarperGo ⚾ ️ ⚾ ️ ⚾ ️ Which word(s) correspond to the organization in the sentence? ,Nats,# Nats game with my boys ! # nanny # firstbaseballgame @ Nationals # GoHarperGo ⚾ ️ ⚾ ️ ⚾ ️ Which word(s) correspond to the organization in the sentence? Answer: Nats,organization,17_06_13938.jpg
@ Football__Tweet : Happy birthday to Andrea Pirlo - the Godfather of football turns 37 today . � � � � Which word(s) correspond to the person in the sentence? ,Andrea Pirlo,@ Football__Tweet : Happy birthday to Andrea Pirlo - the Godfather of football turns 37 today . � � � � Which word(s) correspond to the person in the sentence? Answer: Andrea Pirlo,person,16_05_19_148.jpg
[ # PREVIEW ] 02.06 . 17 World Friends Music Festival - Baekhyun | cr . Perfect Baek Which word(s) correspond to the misceallonous entity in the sentence? ,World Festival Music Friends,[ # PREVIEW ] 02.06 . 17 World Friends Music Festival - Baekhyun | cr . Perfect Baek Which word(s) correspond to the misceallonous entity in the sentence? Answer: World Festival Music Friends,misceallonous entity,17_06_14300.jpg
@ PTXofficial were AMAZING in Manchester ! 1 st concert for these 2 munchkins was an absolute blast ! # PTXWorldTour 🎉 Which word(s) correspond to the person in the sentence? ,PTXofficial,@ PTXofficial were AMAZING in Manchester ! 1 st concert for these 2 munchkins was an absolute blast ! # PTXWorldTour 🎉 Which word(s) correspond to the person in the sentence? Answer: PTXofficial,person,16_05_28_64.jpg
Day 3 of Cougar Cage Camp . Over 100 grade school kids working hard in their basketball skills . Which word(s) correspond to the organization in the sentence? ,Cougar Cage,Day 3 of Cougar Cage Camp . Over 100 grade school kids working hard in their basketball skills . Which word(s) correspond to the organization in the sentence? Answer: Cougar Cage,organization,17_06_14951.jpg
