questions,answers,sentences,questions_with_answers,entity,image_ids
 Which word(s) correspond to the none in the sentence? ,['none'],Come crack a cold one with the boys tnight at my lil brothers grad party !,Come crack a cold one with the boys tnight at my lil brothers grad party ! Which word(s) correspond to the none in the sentence? Answer: none,['none'],O_3976.jpg
 Which word(s) correspond to the organization in the sentence? ,"['RaysBaseball', 'BlueJays', 'MacDill']",Nice first pitch delivery today . @ RaysBaseball @ BlueJays # MacDill,Nice first pitch delivery today . @ RaysBaseball @ BlueJays # MacDill Which word(s) correspond to the organization in the sentence? Answer: RaysBaseball,"['organization', 'organization', 'location']",16_05_01_451.jpg
 Which word(s) correspond to the person in the sentence? ,['Leonardo DiCaprio'],"Baby Leonardo DiCaprio with his mom and dad , 1976 .","Baby Leonardo DiCaprio with his mom and dad , 1976 . Which word(s) correspond to the person in the sentence? Answer: Leonardo DiCaprio",['person'],O_1515.jpg
 Which word(s) correspond to the person in the sentence? ,"['Lady Gaga', 'X - Men']",RETWEET if you think Lady Gaga should be given the lead role for the new X - Men movie # Dazzler,RETWEET if you think Lady Gaga should be given the lead role for the new X - Men movie # Dazzler Which word(s) correspond to the person in the sentence? Answer: Lady Gaga,"['person', 'misceallonous']",O_52.jpg
 Which word(s) correspond to the organization in the sentence? ,['West Fargo'],"West Fargo hangs 10 in first inning , wins Class A state baseball title","West Fargo hangs 10 in first inning , wins Class A state baseball title Which word(s) correspond to the organization in the sentence? Answer: West Fargo",['organization'],17_06_1738.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],My son in a batters box ready to crush a baseball . # LifeIsGood,My son in a batters box ready to crush a baseball . # LifeIsGood Which word(s) correspond to the none in the sentence? Answer: none,['none'],16_05_31_52.jpg
 Which word(s) correspond to the person in the sentence? ,['woahh_sarahh'],"@ woahh_sarahh oh , does she mean this Express model / baseball player / whiz kid ?","@ woahh_sarahh oh , does she mean this Express model / baseball player / whiz kid ? Which word(s) correspond to the person in the sentence? Answer: woahh_sarahh",['person'],16_05_26_724.jpg
 Which word(s) correspond to the person in the sentence? ,"['Robert Gates', 'Hillary Clinton']",Robert Gates says he questions Hillary Clinton ' s judgment in using a private email server,Robert Gates says he questions Hillary Clinton ' s judgment in using a private email server Which word(s) correspond to the person in the sentence? Answer: Robert Gates,"['person', 'person']",O_5042.jpg
 Which word(s) correspond to the person in the sentence? ,"['Christina Aguilera', 'The Voice']",Beautiful sexy Christina Aguilera in The Voice Season 10 Promos,Beautiful sexy Christina Aguilera in The Voice Season 10 Promos Which word(s) correspond to the person in the sentence? Answer: Christina Aguilera,"['person', 'misceallonous']",O_2828.jpg
 Which word(s) correspond to the person in the sentence? ,"['ThompsonScribe', 'NBA']",Alum @ ThompsonScribe before he covers Game of NBA Finals takes the time to speak to the class .,Alum @ ThompsonScribe before he covers Game of NBA Finals takes the time to speak to the class . Which word(s) correspond to the person in the sentence? Answer: ThompsonScribe,"['person', 'organization']",17_06_15076.jpg
 Which word(s) correspond to the organization in the sentence? ,"['Elk Grove', 'John Heffernan']","Here he is , the next head football coach at Elk Grove , John Heffernan , just made official","Here he is , the next head football coach at Elk Grove , John Heffernan , just made official Which word(s) correspond to the organization in the sentence? Answer: Elk Grove","['organization', 'person']",17_06_6479.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],# Baseball games are great friend makers,# Baseball games are great friend makers Which word(s) correspond to the none in the sentence? Answer: none,['none'],16_05_10_983.jpg
 Which word(s) correspond to the misceallonous in the sentence? ,"['The Last Face', 'Sean Penn']",# Photocall The Last Face by Sean Penn # Cannes2016 # Competition,# Photocall The Last Face by Sean Penn # Cannes2016 # Competition Which word(s) correspond to the misceallonous in the sentence? Answer: The Last Face,"['misceallonous', 'person']",O_2648.jpg
 Which word(s) correspond to the organization in the sentence? ,"['MLB', 'Cards', 'Diamondbacks']",# MLB Cards blast three homers in win over # Diamondbacks,# MLB Cards blast three homers in win over # Diamondbacks Which word(s) correspond to the organization in the sentence? Answer: MLB,"['organization', 'organization', 'organization']",16_05_22_274.jpg
 Which word(s) correspond to the person in the sentence? ,['Court Smith'],Influencer Court Smith on her travels ✈ ️ When ' s your next adventure ? 🌍 # influencer,Influencer Court Smith on her travels ✈ ️ When ' s your next adventure ? 🌍 # influencer Which word(s) correspond to the person in the sentence? Answer: Court Smith,['person'],16_05_01_65.jpg
 Which word(s) correspond to the person in the sentence? ,"['DragonflyJonez', 'WCF']",@ DragonflyJonez After the WCF he definetely gonna man on a mission,@ DragonflyJonez After the WCF he definetely gonna man on a mission Which word(s) correspond to the person in the sentence? Answer: DragonflyJonez,"['person', 'misceallonous']",17_06_6361.jpg
 Which word(s) correspond to the person in the sentence? ,['Donald trump'],You know what ? Maybe Donald trump could make a great presi . . .,You know what ? Maybe Donald trump could make a great presi . . . Which word(s) correspond to the person in the sentence? Answer: Donald trump,['person'],O_3501.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],Congrats to all of our baseball seniors ! ! ⚾ ️ 💛,Congrats to all of our baseball seniors ! ! ⚾ ️ 💛 Which word(s) correspond to the none in the sentence? Answer: none,['none'],16_05_12_585.jpg
 Which word(s) correspond to the organization in the sentence? ,['Big Ten'],Big Ten basketball featuring unusually large middle of pack,Big Ten basketball featuring unusually large middle of pack Which word(s) correspond to the organization in the sentence? Answer: Big Ten,['organization'],17_01_21064.jpg
 Which word(s) correspond to the misceallonous in the sentence? ,"['WorldMedia Festival', 'Time - Dynamic Model of Saxony']","WorldMedia Festival : Silver goes to the "" Time - Dynamic Model of Saxony "" . Our video :","WorldMedia Festival : Silver goes to the "" Time - Dynamic Model of Saxony "" . Our video : Which word(s) correspond to the misceallonous in the sentence? Answer: WorldMedia Festival","['misceallonous', 'misceallonous']",16_05_12_725.jpg
 Which word(s) correspond to the organization in the sentence? ,"['LouisVuitton', 'mrkimjones', 'louis vuitton']","@ LouisVuitton @ mrkimjones he is living up to his title as louis vuitton ' s "" best dressed man "" !","@ LouisVuitton @ mrkimjones he is living up to his title as louis vuitton ' s "" best dressed man "" ! Which word(s) correspond to the organization in the sentence? Answer: LouisVuitton","['organization', 'person', 'organization']",O_4253.jpg
 Which word(s) correspond to the location in the sentence? ,"['Liparis Sunflowers', 'Mersin']",I ' m at Liparis Sunflowers in Mersin,I ' m at Liparis Sunflowers in Mersin Which word(s) correspond to the location in the sentence? Answer: Liparis Sunflowers,"['location', 'location']",17_06_1006.jpg
 Which word(s) correspond to the organization in the sentence? ,['Chicago Cubs'],Go the Chicago Cubs baseball club,Go the Chicago Cubs baseball club Which word(s) correspond to the organization in the sentence? Answer: Chicago Cubs,['organization'],16_05_08_658.jpg
 Which word(s) correspond to the organization in the sentence? ,"['NFL', 'saints', 'NFCSouth']",Getting ahead for the 2017 fantasy draft . # NFL # Fantasyfootball # saints # NFCSouth,Getting ahead for the 2017 fantasy draft . # NFL # Fantasyfootball # saints # NFCSouth Which word(s) correspond to the organization in the sentence? Answer: NFL,"['organization', 'organization', 'organization']",17_06_8687.jpg
 Which word(s) correspond to the organization in the sentence? ,"['UK Parliament', 'House of commons', 'David Cameron']",Phone call and email to UK Parliament House of commons and PM David Cameron starts on the …,Phone call and email to UK Parliament House of commons and PM David Cameron starts on the … Which word(s) correspond to the organization in the sentence? Answer: UK Parliament,"['organization', 'organization', 'person']",O_3784.jpg
 Which word(s) correspond to the person in the sentence? ,"['Lady Gaga', 'Indy500', 'Indianapolis']",Lady Gaga attending # Indy500 in Indianapolis today . 😍 🌸,Lady Gaga attending # Indy500 in Indianapolis today . 😍 🌸 Which word(s) correspond to the person in the sentence? Answer: Lady Gaga,"['person', 'misceallonous', 'location']",O_159.jpg
 Which word(s) correspond to the person in the sentence? ,['harry potter'],"harry potter , president of the romione fan club","harry potter , president of the romione fan club Which word(s) correspond to the person in the sentence? Answer: harry potter",['person'],O_3233.jpg
 Which word(s) correspond to the person in the sentence? ,"['Donald Trump', 'US', 'Mexico', 'USA TODAY']",Anti - Donald Trump sentiment seeps into US - Mexico soccer rivalry - USA TODAY,Anti - Donald Trump sentiment seeps into US - Mexico soccer rivalry - USA TODAY Which word(s) correspond to the person in the sentence? Answer: Donald Trump,"['person', 'location', 'location', 'organization']",O_2011.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],Yesterday I was at my first choir concert now 16 concerts later I ' m done 💙 💛 🎓 🎶,Yesterday I was at my first choir concert now 16 concerts later I ' m done 💙 💛 🎓 🎶 Which word(s) correspond to the none in the sentence? Answer: none,['none'],16_05_22_607.jpg
 Which word(s) correspond to the organization in the sentence? ,"['RealColoSoccer', 'La Roca']",@ RealColoSoccer about kick off vs @ La Roca in the Final ! @ usysncs # RoadToTX,@ RealColoSoccer about kick off vs @ La Roca in the Final ! @ usysncs # RoadToTX Which word(s) correspond to the organization in the sentence? Answer: RealColoSoccer,"['organization', 'organization']",17_06_214.jpg
 Which word(s) correspond to the person in the sentence? ,"['Ariana Grande', 'Lil Wayne', 'Let Me Love You']",Ariana Grande and Lil Wayne on the set of ' Let Me Love You ' music video .,Ariana Grande and Lil Wayne on the set of ' Let Me Love You ' music video . Which word(s) correspond to the person in the sentence? Answer: Ariana Grande,"['person', 'person', 'misceallonous']",O_2368.jpg
 Which word(s) correspond to the person in the sentence? ,"['Radiohead', 'opener_festival']",# Radiohead @ opener_festival # TTMR good old times are back 😅 😊 🎸 🎼 🎧 🎹,# Radiohead @ opener_festival # TTMR good old times are back 😅 😊 🎸 🎼 🎧 🎹 Which word(s) correspond to the person in the sentence? Answer: Radiohead,"['person', 'misceallonous']",17_06_9777.jpg
 Which word(s) correspond to the person in the sentence? ,"['Safdie Bros', 'Good Time', 'Robert Pattinson']",Second Trailer for Safdie Bros ' ' Good Time ' Starring Robert Pattinson,Second Trailer for Safdie Bros ' ' Good Time ' Starring Robert Pattinson Which word(s) correspond to the person in the sentence? Answer: Safdie Bros,"['person', 'misceallonous', 'person']",O_2054.jpg
 Which word(s) correspond to the misceallonous in the sentence? ,['Prescottbluegrassfestival'],This guys is digging the music # Prescottbluegrassfestival,This guys is digging the music # Prescottbluegrassfestival Which word(s) correspond to the misceallonous in the sentence? Answer: Prescottbluegrassfestival,['misceallonous'],17_06_268.jpg
 Which word(s) correspond to the person in the sentence? ,"['Justin Bieber', 'VFiles', 'New York']",Another photo of Justin Bieber spotted at the VFiles / / Purpose Tour pop - up shop in New York .,Another photo of Justin Bieber spotted at the VFiles / / Purpose Tour pop - up shop in New York . Which word(s) correspond to the person in the sentence? Answer: Justin Bieber,"['person', 'misceallonous', 'location']",O_1039.jpg
 Which word(s) correspond to the person in the sentence? ,"['Robin Williams', 'Good Will Hunting']",Robin Williams from Good Will Hunting explains being cheating on ! ! ! !,Robin Williams from Good Will Hunting explains being cheating on ! ! ! ! Which word(s) correspond to the person in the sentence? Answer: Robin Williams,"['person', 'misceallonous']",O_3722.jpg
 Which word(s) correspond to the person in the sentence? ,"['Demi Lovato', 'Nick Jonas', 'Wilmer Valderrama', 'BBMAs']","Demi Lovato , Nick Jonas and Wilmer Valderrama at the # BBMAs ! # DemiOnBBMAs","Demi Lovato , Nick Jonas and Wilmer Valderrama at the # BBMAs ! # DemiOnBBMAs Which word(s) correspond to the person in the sentence? Answer: Demi Lovato","['person', 'person', 'person', 'misceallonous']",O_134.jpg
 Which word(s) correspond to the person in the sentence? ,"['Gatiss', 'Queen Victoria']",Gatiss v . an actual photo taken during Queen Victoria ' s diamond jubilee,Gatiss v . an actual photo taken during Queen Victoria ' s diamond jubilee Which word(s) correspond to the person in the sentence? Answer: Gatiss,"['person', 'person']",O_3456.jpg
 Which word(s) correspond to the organization in the sentence? ,"['Lajong', 'Aneam Jyrwa', 'AFC U14 Football Fest', 'Tajikistan']",# Lajong ' s Aneam Jyrwa poses with his team mates after the AFC U14 Football Fest concluded in Tajikistan on Monday .,# Lajong ' s Aneam Jyrwa poses with his team mates after the AFC U14 Football Fest concluded in Tajikistan on Monday . Which word(s) correspond to the organization in the sentence? Answer: Lajong,"['organization', 'person', 'organization', 'location']",16_05_31_392.jpg
 Which word(s) correspond to the organization in the sentence? ,"['76 ers', 'NBA']",The 76 ers first pick of the 2017 NBA draft is …,The 76 ers first pick of the 2017 NBA draft is … Which word(s) correspond to the organization in the sentence? Answer: 76 ers,"['organization', 'organization']",17_06_13292.jpg
 Which word(s) correspond to the organization in the sentence? ,['BHS'],"Had an amazing second year with these girls 💙 gonna miss the seniors so muchhh , Until next year BHS soccer ⚽ ️ 🐾","Had an amazing second year with these girls 💙 gonna miss the seniors so muchhh , Until next year BHS soccer ⚽ ️ 🐾 Which word(s) correspond to the organization in the sentence? Answer: BHS",['organization'],16_05_12_1065.jpg
 Which word(s) correspond to the person in the sentence? ,"['Daniel Bryan', 'wwe', 'nxt']",Daniel Bryan we ' ll miss u # wwe # model # nxt # nsfw ☻,Daniel Bryan we ' ll miss u # wwe # model # nxt # nsfw ☻ Which word(s) correspond to the person in the sentence? Answer: Daniel Bryan,"['person', 'organization', 'organization']",O_2486.jpg
 Which word(s) correspond to the person in the sentence? ,['Donald Trump'],the media is rude and mean to Donald Trump BECAUSE WE ARE JEALOUS OF HIM,the media is rude and mean to Donald Trump BECAUSE WE ARE JEALOUS OF HIM Which word(s) correspond to the person in the sentence? Answer: Donald Trump,['person'],O_1729.jpg
 Which word(s) correspond to the organization in the sentence? ,"['MLB', 'Freese', 'Pirates', 'Diamondbacks']",# MLB Freese ' s 2 - run HR lifts Pirates to 5 - 4 win over # Diamondbacks,# MLB Freese ' s 2 - run HR lifts Pirates to 5 - 4 win over # Diamondbacks Which word(s) correspond to the organization in the sentence? Answer: MLB,"['organization', 'person', 'organization', 'organization']",16_05_26_86.jpg
 Which word(s) correspond to the person in the sentence? ,"['Justin Bieber', 'Australia']",Justin Bieber is the most streamed artist in Australia with 4 tracks in the Top 10 # SpotifyAUturns4,Justin Bieber is the most streamed artist in Australia with 4 tracks in the Top 10 # SpotifyAUturns4 Which word(s) correspond to the person in the sentence? Answer: Justin Bieber,"['person', 'location']",O_295.jpg
 Which word(s) correspond to the organization in the sentence? ,"['nfl', 'nfl']",Get Your nfl jersey from your favorite nfl team,Get Your nfl jersey from your favorite nfl team Which word(s) correspond to the organization in the sentence? Answer: nfl,"['organization', 'organization']",16_05_21_535.jpg
 Which word(s) correspond to the location in the sentence? ,"['Lisbon', 'Santo Antonio festival', 'Madrid']","So Lisbon was incredible , especially the Santo Antonio festival ! - Off to Madrid tonight for the next leg ! ! 🇵 🇹 🇪 🇸","So Lisbon was incredible , especially the Santo Antonio festival ! - Off to Madrid tonight for the next leg ! ! 🇵 🇹 🇪 🇸 Which word(s) correspond to the location in the sentence? Answer: Lisbon","['location', 'misceallonous', 'location']",17_06_11714.jpg
 Which word(s) correspond to the person in the sentence? ,"['alexkeble', 'Leicester City']",Here ' s @ alexkeble on Leicester City and the role of chance in football -,Here ' s @ alexkeble on Leicester City and the role of chance in football - Which word(s) correspond to the person in the sentence? Answer: alexkeble,"['person', 'location']",16_05_07_854.jpg
 Which word(s) correspond to the person in the sentence? ,"['Andrew Luck', 'NFL']",Andrew Luck started last season as the seventh best player in the NFL . Now . . . 92 nd .,Andrew Luck started last season as the seventh best player in the NFL . Now . . . 92 nd . Which word(s) correspond to the person in the sentence? Answer: Andrew Luck,"['person', 'organization']",16_05_05_585.jpg
 Which word(s) correspond to the person in the sentence? ,['bryanadams'],Tonight ' s view for the @ bryanadams concert wonder if I can get a chant going let ' s go bryan let ' s go lol,Tonight ' s view for the @ bryanadams concert wonder if I can get a chant going let ' s go bryan let ' s go lol Which word(s) correspond to the person in the sentence? Answer: bryanadams,['person'],16_05_14_776.jpg
 Which word(s) correspond to the person in the sentence? ,"['Donald Trump', 'Asia']",Donald Trump ’ s ascent watched with wariness in Asia,Donald Trump ’ s ascent watched with wariness in Asia Which word(s) correspond to the person in the sentence? Answer: Donald Trump,"['person', 'location']",O_2793.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],Just your average soccer mom who is on the verge on a mental breakdown but it ' s okay bc I have this cool hat 👍 🏼,Just your average soccer mom who is on the verge on a mental breakdown but it ' s okay bc I have this cool hat 👍 🏼 Which word(s) correspond to the none in the sentence? Answer: none,['none'],16_05_02_50.jpg
 Which word(s) correspond to the person in the sentence? ,['Donald Trump'],A look at how Donald Trump plays the tax game,A look at how Donald Trump plays the tax game Which word(s) correspond to the person in the sentence? Answer: Donald Trump,['person'],O_463.jpg
 Which word(s) correspond to the person in the sentence? ,"['Robert Pattinson', 'Twilight']","Happy 30 th birthday , Robert Pattinson ! See the Twilight star ' s transformation :","Happy 30 th birthday , Robert Pattinson ! See the Twilight star ' s transformation : Which word(s) correspond to the person in the sentence? Answer: Robert Pattinson","['person', 'person']",O_404.jpg
 Which word(s) correspond to the organization in the sentence? ,['Raptors'],Game 7 T - Shirts set ! Can ' t wait for this game to get started # Raptors # NBAPlayoffs,Game 7 T - Shirts set ! Can ' t wait for this game to get started # Raptors # NBAPlayoffs Which word(s) correspond to the organization in the sentence? Answer: Raptors,['organization'],16_05_01_548.jpg
 Which word(s) correspond to the person in the sentence? ,"['Adele', 'Beyoncé']","Adele pauses own concert to praise her queen , Beyoncé","Adele pauses own concert to praise her queen , Beyoncé Which word(s) correspond to the person in the sentence? Answer: Adele","['person', 'person']",16_05_07_568.jpg
 Which word(s) correspond to the location in the sentence? ,"['McClimon field', 'Marquette University', 'Wisconsin']","End of preseason Women ' s soccer match at McClimon field , between Marquette University and Wisconsin , 1 - 1 tie .","End of preseason Women ' s soccer match at McClimon field , between Marquette University and Wisconsin , 1 - 1 tie . Which word(s) correspond to the location in the sentence? Answer: McClimon field","['location', 'organization', 'organization']",16_05_02_280.jpg
 Which word(s) correspond to the person in the sentence? ,['Jess Dunbar'],# XFactor Jess Dunbar cuts off her long blonde hair into a bob ahead of new album,# XFactor Jess Dunbar cuts off her long blonde hair into a bob ahead of new album Which word(s) correspond to the person in the sentence? Answer: Jess Dunbar,['person'],16_05_31_182.jpg
 Which word(s) correspond to the person in the sentence? ,['Donald trump'],Donald trump lets his voter write the speech . He gets power and control .,Donald trump lets his voter write the speech . He gets power and control . Which word(s) correspond to the person in the sentence? Answer: Donald trump,['person'],O_2459.jpg
 Which word(s) correspond to the person in the sentence? ,"['The Angels', 'Wollongong', 'NEXT EXIT']","Found a little env . of our old signed concert tickets . The Angels at Wollongong , just before NEXT EXIT was released .","Found a little env . of our old signed concert tickets . The Angels at Wollongong , just before NEXT EXIT was released . Which word(s) correspond to the person in the sentence? Answer: The Angels","['person', 'location', 'misceallonous']",17_06_1693.jpg
 Which word(s) correspond to the organization in the sentence? ,['NHL'],"Black Cat Crosses NHL Rink , Brings Home Team Luck . . .","Black Cat Crosses NHL Rink , Brings Home Team Luck . . . Which word(s) correspond to the organization in the sentence? Answer: NHL",['organization'],16_05_01_514.jpg
 Which word(s) correspond to the organization in the sentence? ,"['Grimsby Town', 'Wembley']",FULL TIME ! Grimsby Town have ended their six season exile from the Football League with a 3 - 1 win at Wembley .,FULL TIME ! Grimsby Town have ended their six season exile from the Football League with a 3 - 1 win at Wembley . Which word(s) correspond to the organization in the sentence? Answer: Grimsby Town,"['organization', 'location']",16_05_15_1021.jpg
 Which word(s) correspond to the organization in the sentence? ,"['Bayern Munich', 'Bundesliga']",Bayern Munich crowned Bundesliga champions for fourth successive season,Bayern Munich crowned Bundesliga champions for fourth successive season Which word(s) correspond to the organization in the sentence? Answer: Bayern Munich,"['organization', 'organization']",16_05_07_267.jpg
 Which word(s) correspond to the location in the sentence? ,['German'],German youth football team rallies behind ' star players ' facing deportation,German youth football team rallies behind ' star players ' facing deportation Which word(s) correspond to the location in the sentence? Answer: German,['location'],17_06_14475.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],i honestly miss harry spitting water during concerts,i honestly miss harry spitting water during concerts Which word(s) correspond to the none in the sentence? Answer: none,['none'],16_05_18_203.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],Home in time to watch the basketball game .,Home in time to watch the basketball game . Which word(s) correspond to the none in the sentence? Answer: none,['none'],17_06_7873.jpg
 Which word(s) correspond to the organization in the sentence? ,"['House', 'Donald Trump', 'GOP']",House Democrats say Donald Trump ' s rise reveals true nature of GOP,House Democrats say Donald Trump ' s rise reveals true nature of GOP Which word(s) correspond to the organization in the sentence? Answer: House,"['organization', 'person', 'organization']",O_4504.jpg
 Which word(s) correspond to the person in the sentence? ,"['Jamie Vardy', 'Leicester City', 'Premier League', 'LCFC']","Jamie Vardy says the party will go on for Leicester City , Premier League champions # LCFC","Jamie Vardy says the party will go on for Leicester City , Premier League champions # LCFC Which word(s) correspond to the person in the sentence? Answer: Jamie Vardy","['person', 'organization', 'organization', 'organization']",16_05_03_200.jpg
 Which word(s) correspond to the person in the sentence? ,"['Harry', 'One Direction']",Harry ( and the boys ) for the 2017 One Direction calendar . # 2,Harry ( and the boys ) for the 2017 One Direction calendar . # 2 Which word(s) correspond to the person in the sentence? Answer: Harry,"['person', 'person']",O_1057.jpg
 Which word(s) correspond to the misceallonous in the sentence? ,['One Tree Hill'],When someone says they never seen One Tree Hill,When someone says they never seen One Tree Hill Which word(s) correspond to the misceallonous in the sentence? Answer: One Tree Hill,['misceallonous'],O_1572.jpg
 Which word(s) correspond to the person in the sentence? ,"['Jerry West', 'Warriors', 'clippers', 'lac', 'NBA']",Jerry West had a strained relationship with Warriors ' owners # clippers # lac # NBA,Jerry West had a strained relationship with Warriors ' owners # clippers # lac # NBA Which word(s) correspond to the person in the sentence? Answer: Jerry West,"['person', 'organization', 'organization', 'organization', 'organization']",17_06_3537.jpg
 Which word(s) correspond to the person in the sentence? ,"['Donald Trump', 'The New Yorker']",The Dangerous Acceptance of Donald Trump - The New Yorker,The Dangerous Acceptance of Donald Trump - The New Yorker Which word(s) correspond to the person in the sentence? Answer: Donald Trump,"['person', 'organization']",O_3028.jpg
 Which word(s) correspond to the organization in the sentence? ,"['Huskies Baseball', 'Parkers Prairie']",It ' s a great day for Huskies Baseball . Home game vs Parkers Prairie . Game time 4 : 30 pm .,It ' s a great day for Huskies Baseball . Home game vs Parkers Prairie . Game time 4 : 30 pm . Which word(s) correspond to the organization in the sentence? Answer: Huskies Baseball,"['organization', 'organization']",16_05_03_1213.jpg
 Which word(s) correspond to the misceallonous in the sentence? ,['Skokie Festival of Cultures'],"Music , dance , food and fun for all this weekend at # Skokie Festival of Cultures !","Music , dance , food and fun for all this weekend at # Skokie Festival of Cultures ! Which word(s) correspond to the misceallonous in the sentence? Answer: Skokie Festival of Cultures",['misceallonous'],16_05_21_726.jpg
 Which word(s) correspond to the organization in the sentence? ,"['Worthing College', 'England']",Worthing College students rewarded with England football squad calls .,Worthing College students rewarded with England football squad calls . Which word(s) correspond to the organization in the sentence? Answer: Worthing College,"['organization', 'location']",17_01_6148.jpg
 Which word(s) correspond to the location in the sentence? ,['Istanbul'],Istanbul soccer match called off over unspecified threat . . .,Istanbul soccer match called off over unspecified threat . . . Which word(s) correspond to the location in the sentence? Answer: Istanbul,['location'],16_05_21_32.jpg
 Which word(s) correspond to the person in the sentence? ,"['Justin Bieber', 'Washington , D . C']","HQ photo of Justin Bieber performing on the # PurposeTour last night in Washington , D . C . ( April 29 )","HQ photo of Justin Bieber performing on the # PurposeTour last night in Washington , D . C . ( April 29 ) Which word(s) correspond to the person in the sentence? Answer: Justin Bieber","['person', 'location']",O_2343.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],# ConflictsofInterest is out today . Get it while it ' s hot !,# ConflictsofInterest is out today . Get it while it ' s hot ! Which word(s) correspond to the none in the sentence? Answer: none,['none'],17_06_15568.jpg
 Which word(s) correspond to the person in the sentence? ,['Depp'],Depp ' s rummaging around here ( PT ) on one of the musical / festival events and participating in solidarity giveaways .,Depp ' s rummaging around here ( PT ) on one of the musical / festival events and participating in solidarity giveaways . Which word(s) correspond to the person in the sentence? Answer: Depp,['person'],16_05_27_174.jpg
 Which word(s) correspond to the organization in the sentence? ,['Mets'],"At the # Mets game with BBQ , beer and baseball . I ' m all set .","At the # Mets game with BBQ , beer and baseball . I ' m all set . Which word(s) correspond to the organization in the sentence? Answer: Mets",['organization'],17_06_2296.jpg
 Which word(s) correspond to the organization in the sentence? ,['juventusfcen'],So proud of this team ! ! @ juventusfcen 🇮 🇹 🙌 🏽 🎉 🎉 # ForzaJuve # Chiellini400 # SerieATIM # Hi5tory # SuperGigi,So proud of this team ! ! @ juventusfcen 🇮 🇹 🙌 🏽 🎉 🎉 # ForzaJuve # Chiellini400 # SerieATIM # Hi5tory # SuperGigi Which word(s) correspond to the organization in the sentence? Answer: juventusfcen,['organization'],16_05_14_611.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],Ready kids ? ⚽ # courtsoccer # platformgoal,Ready kids ? ⚽ # courtsoccer # platformgoal Which word(s) correspond to the none in the sentence? Answer: none,['none'],16_05_11_326.jpg
 Which word(s) correspond to the person in the sentence? ,"['Donald Trump', 'America', 'UN']",Donald Trump says he ' d consider withdrawing America from the UN,Donald Trump says he ' d consider withdrawing America from the UN Which word(s) correspond to the person in the sentence? Answer: Donald Trump,"['person', 'location', 'organization']",O_3275.jpg
 Which word(s) correspond to the misceallonous in the sentence? ,"['Drag Me Down', 'One Direction']","Retweet and reply with "" My # TeenChoice nominee for # ChoiceSummerSong is Drag Me Down by One Direction ""","Retweet and reply with "" My # TeenChoice nominee for # ChoiceSummerSong is Drag Me Down by One Direction "" Which word(s) correspond to the misceallonous in the sentence? Answer: Drag Me Down","['misceallonous', 'person']",O_2531.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],Awesome night for a baseball game !,Awesome night for a baseball game ! Which word(s) correspond to the none in the sentence? Answer: none,['none'],16_05_06_123.jpg
 Which word(s) correspond to the person in the sentence? ,"['Ashley Tisdale', 'ashleytisdale']",My # TeenChoice nominee for # SocialMediaQueen is Ashley Tisdale ( @ ashleytisdale ),My # TeenChoice nominee for # SocialMediaQueen is Ashley Tisdale ( @ ashleytisdale ) Which word(s) correspond to the person in the sentence? Answer: Ashley Tisdale,"['person', 'person']",O_2821.jpg
 Which word(s) correspond to the organization in the sentence? ,['NBA'],Just 115 days till # NBA regular season starts 😴,Just 115 days till # NBA regular season starts 😴 Which word(s) correspond to the organization in the sentence? Answer: NBA,['organization'],17_06_2389.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],"Apparently , they play football here too .","Apparently , they play football here too . Which word(s) correspond to the none in the sentence? Answer: none",['none'],16_05_14_130.jpg
 Which word(s) correspond to the organization in the sentence? ,"['Jelly Belly', 'jellybelly']","Festival season got you in need of "" drying out "" ? Why not try our Green Tea flavoured Jelly Belly beans # jellybelly","Festival season got you in need of "" drying out "" ? Why not try our Green Tea flavoured Jelly Belly beans # jellybelly Which word(s) correspond to the organization in the sentence? Answer: Jelly Belly","['organization', 'organization']",17_06_262.jpg
 Which word(s) correspond to the person in the sentence? ,"['Michl Jordn', 'Chicago Bulls']",It me Michl Jordn of Chicago Bulls basketball team we just won the big game,It me Michl Jordn of Chicago Bulls basketball team we just won the big game Which word(s) correspond to the person in the sentence? Answer: Michl Jordn,"['person', 'organization']",16_05_23_763.jpg
 Which word(s) correspond to the organization in the sentence? ,['NFL'],Local NFL player gives back to area youth,Local NFL player gives back to area youth Which word(s) correspond to the organization in the sentence? Answer: NFL,['organization'],17_06_9338.jpg
 Which word(s) correspond to the person in the sentence? ,"['Cody Rhodes', 'WWE', 'PWStream']",BREAKING : Cody Rhodes has asked to leave WWE . More info as this story develops . # PWStream,BREAKING : Cody Rhodes has asked to leave WWE . More info as this story develops . # PWStream Which word(s) correspond to the person in the sentence? Answer: Cody Rhodes,"['person', 'organization', 'organization']",O_3550.jpg
